"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72"
"-0.001444492","-0.001248846","-0.000941656","-0.000550441","-0.000172281","0.00012563","0.000272711","0.00037569","0.000684447","0.001171228","0.001741007","0.002312311","0.002677312","0.002632121","0.002275022","0.001769276","0.001201479","0.000642822","0.000118131","-0.000395145","-0.000904554","-0.001356944","-0.001681333","-0.001834165","-0.001765876","-0.001445897","-0.000866627","-0.0000617765","0.000869306","0.00177439","0.002512378","0.002874105","0.002678903","0.002097625","0.001464434","0.000867725","0.000283176","-0.000286491","-0.000880631","-0.001485317","-0.002029651","-0.002448068","-0.002716036","-0.002815793","-0.002745423","-0.002518748","-0.002163775","-0.001720041","-0.001235598","-0.000761648","-0.000267551","0.000328691","0.001026005","0.001707428","0.00236368","0.003060237","0.003810182","0.004537587","0.005131503","0.005483309","0.005346857","0.004586213","0.00336933","0.001921429","0.000427139","-0.000919128","-0.002043543","-0.00293476","-0.00364278","-0.004231988","-0.004607935","-0.004644873"
"-0.001465925","-0.001262937","-0.000948354","-0.000547887","-0.000160742","0.000143346","0.000289216","0.000385865","0.000688045","0.001169317","0.001734837","0.002303608","0.002666101","0.002621837","0.002265395","0.001760147","0.001197477","0.000646714","0.000129254","-0.000378229","-0.000883774","-0.001334516","-0.001663421","-0.001823637","-0.001767131","-0.001459003","-0.000894958","-0.000103026","0.000817378","0.00171868","0.002458994","0.00282592","0.002638221","0.002062812","0.001444126","0.000866136","0.000303115","-0.000248052","-0.000825426","-0.00141917","-0.001955949","-0.002373885","-0.002644241","-0.002751119","-0.002690578","-0.002481133","-0.002137283","-0.001704993","-0.001232639","-0.000766595","-0.000280333","0.000311537","0.00101049","0.001689455","0.00234346","0.003039542","0.003794739","0.0045545","0.005163063","0.005541755","0.005406083","0.004634608","0.00340447","0.001937114","0.000430298","-0.000936973","-0.002076645","-0.00297183","-0.00369494","-0.004314119","-0.00468233","-0.004701886"
"-0.001474316","-0.001277941","-0.00096788","-0.000573574","-0.000192615","0.00010814","0.000258761","0.000361676","0.000674543","0.001173119","0.001768938","0.002378381","0.002771462","0.002735242","0.002372036","0.001854262","0.001274467","0.000707871","0.000175234","-0.000349648","-0.00087628","-0.001349175","-0.001698897","-0.00187743","-0.001834673","-0.001531056","-0.00095935","-0.000147","0.000807942","0.001755221","0.002540839","0.002933973","0.002741614","0.00214119","0.001496513","0.000901278","0.000327236","-0.000240584","-0.000838939","-0.001455107","-0.002013317","-0.0024529","-0.002741704","-0.002863998","-0.002813761","-0.002602015","-0.002251237","-0.001803394","-0.001314727","-0.000830784","-0.00032942","0.000274555","0.00099232","0.001689102","0.002363056","0.003086689","0.003865744","0.004622949","0.005241452","0.005615887","0.005484295","0.004720215","0.003478755","0.001976456","0.000462734","-0.000906806","-0.002042528","-0.002953167","-0.003697704","-0.004328954","-0.004721643","-0.00476795"
"-0.001445499","-0.00124867","-0.000942557","-0.00055359","-0.000177172","0.000117428","0.00026362","0.000365782","0.000672265","0.001155405","0.001728227","0.002309706","0.002680913","0.002638504","0.002279597","0.001773068","0.001206267","0.000652244","0.000135273","-0.000374563","-0.000881665","-0.001333574","-0.001664243","-0.00182756","-0.001772626","-0.001468919","-0.000905702","-0.000110071","0.000815998","0.001726771","0.002478644","0.002853422","0.002664411","0.00208036","0.001451514","0.000869863","0.000304377","-0.000252901","-0.000837893","-0.001438149","-0.001978257","-0.002398475","-0.002673528","-0.00278155","-0.002723168","-0.002508008","-0.002161427","-0.001722298","-0.001243123","-0.000772933","-0.000285822","0.00030163","0.001005339","0.001676071","0.002322584","0.003020274","0.003765943","0.004504846","0.005118693","0.005488736","0.005366987","0.004610234","0.003395153","0.001946771","0.000451388","-0.00089605","-0.002011094","-0.002902467","-0.00362592","-0.004250985","-0.004633881","-0.004657557"
"-0.001466695","-0.001268231","-0.000957129","-0.000561948","-0.000180999","0.000117901","0.00026663","0.000368166","0.000677562","0.001171586","0.001758909","0.002358347","0.002743031","0.002705058","0.002344046","0.001829184","0.001254611","0.000691024","0.000159763","-0.000360746","-0.000883594","-0.001351799","-0.001695617","-0.001867776","-0.001819229","-0.001511222","-0.000935572","-0.000123722","0.000829236","0.00176675","0.00254267","0.0029279","0.002734227","0.002137841","0.001496394","0.000897212","0.000316809","-0.000258111","-0.000862034","-0.001477658","-0.002035798","-0.002469701","-0.002752513","-0.002862576","-0.002805519","-0.002582624","-0.002225977","-0.001773617","-0.001281084","-0.000803576","-0.000308222","0.000290184","0.001000134","0.001688836","0.00235425","0.003065713","0.003839981","0.004591682","0.005215963","0.005588231","0.005469967","0.004707351","0.003487307","0.002010498","0.000498077","-0.00086882","-0.002011691","-0.002917667","-0.003657005","-0.004287845","-0.00467892","-0.00472397"
"-0.001466961","-0.001267201","-0.000957063","-0.000562175","-0.000179112","0.000120172","0.000266769","0.000362165","0.000659113","0.001143394","0.001723525","0.002324641","0.002716133","0.002682338","0.002327762","0.001825297","0.001263235","0.000714885","0.000202187","-0.00030353","-0.000812731","-0.001275964","-0.001619701","-0.001800341","-0.001764313","-0.001477959","-0.000928272","-0.000140114","0.000795661","0.001722569","0.002497313","0.002890522","0.002698826","0.002103507","0.001469176","0.000885402","0.00032835","-0.00022554","-0.000812532","-0.001422165","-0.00198173","-0.00242381","-0.002716322","-0.002842393","-0.002793764","-0.002589507","-0.002248393","-0.001802652","-0.001318113","-0.000841218","-0.000338885","0.000274734","0.000998407","0.001697759","0.002370452","0.003093489","0.003873973","0.004635579","0.005265222","0.005638871","0.005521921","0.004739468","0.003478192","0.001969953","0.000423155","-0.00096328","-0.002118677","-0.003015705","-0.00374653","-0.004359229","-0.004734163","-0.004764478"
"-0.001329193","-0.00115589","-0.000883589","-0.000532226","-0.000187657","0.0000844912","0.000222498","0.00032117","0.000607297","0.001064952","0.001610506","0.002164594","0.002522295","0.002494279","0.002167449","0.001700053","0.001173887","0.00065898","0.000174085","-0.000303848","-0.000783716","-0.001216101","-0.001534547","-0.00169597","-0.00165292","-0.001373769","-0.000849017","-0.000105511","0.00076554","0.001622939","0.002330825","0.002683318","0.002503845","0.001957226","0.001363155","0.000815671","0.0002838","-0.000237931","-0.000778448","-0.001338358","-0.001849232","-0.002250431","-0.002514428","-0.002620627","-0.002569861","-0.002372304","-0.002050437","-0.001640889","-0.001192066","-0.000752282","-0.000291416","0.000266569","0.000921591","0.001560122","0.002173433","0.002830979","0.003537061","0.00422412","0.004782149","0.005109149","0.004977721","0.004265223","0.003138195","0.001786183","0.000400635","-0.000853186","-0.001892175","-0.002726937","-0.003385948","-0.003943698","-0.004285716","-0.004307332"
"-0.001490093","-0.001286609","-0.000969332","-0.000565923","-0.000175006","0.000131913","0.000281372","0.000383277","0.000695081","0.001189996","0.001770902","0.002358508","0.002733822","0.002690416","0.002325501","0.001807602","0.001230864","0.00066512","0.000132384","-0.00039219","-0.000913049","-0.001378563","-0.001718292","-0.001885968","-0.001829923","-0.00151886","-0.000942823","-0.000132218","0.000814229","0.001743575","0.002511874","0.002899537","0.002712951","0.002130015","0.001496241","0.000905473","0.000335585","-0.000231286","-0.000825584","-0.001436719","-0.001990798","-0.002425444","-0.002708274","-0.00282259","-0.002769751","-0.002558054","-0.002205606","-0.001759803","-0.001272273","-0.0007923","-0.000296742","0.000306425","0.001013544","0.001707832","0.002371985","0.003091818","0.003867523","0.004639737","0.005285186","0.00566738","0.005548749","0.004773359","0.003523633","0.00202373","0.000482774","-0.000904364","-0.002071232","-0.003008649","-0.003757297","-0.004394452","-0.004794132","-0.004827219"
"-0.00148756","-0.00128168","-0.000965555","-0.000564188","-0.000175224","0.000129807","0.000274582","0.000364484","0.000657988","0.001135519","0.001707688","0.002296229","0.002680487","0.002648601","0.002296412","0.001796818","0.001238678","0.000692086","0.000181036","-0.000319898","-0.000824655","-0.001279109","-0.001616779","-0.001789844","-0.001748013","-0.001456904","-0.000904488","-0.000116613","0.000811461","0.001728532","0.002493678","0.002881867","0.002692678","0.002103413","0.001466357","0.000879162","0.000310962","-0.000249139","-0.00083695","-0.001443862","-0.001997689","-0.002432992","-0.002718241","-0.002838463","-0.002783096","-0.002571033","-0.002219201","-0.001770168","-0.001279957","-0.000799414","-0.000296457","0.000310432","0.001025655","0.001717464","0.002379091","0.00309866","0.003885063","0.004654197","0.005296847","0.005675084","0.005552019","0.004766903","0.003508522","0.001989827","0.000453507","-0.000944016","-0.002108077","-0.003039456","-0.003804603","-0.004440488","-0.004819891","-0.004840255"
"-0.001474209","-0.001274784","-0.000963546","-0.00056593","-0.000179248","0.000123893","0.000275587","0.000376925","0.000684007","0.001171255","0.001740431","0.002316782","0.002682206","0.002638076","0.002280167","0.001774813","0.00120705","0.000650104","0.000125921","-0.000389295","-0.000902523","-0.00135943","-0.00169244","-0.001855149","-0.001799922","-0.001489293","-0.000920236","-0.000120554","0.000809382","0.001717934","0.00246806","0.002845918","0.002660779","0.002085054","0.001460886","0.000880057","0.000316461","-0.000243152","-0.000832862","-0.0014341","-0.001977158","-0.002398737","-0.002674696","-0.002781473","-0.002721586","-0.002505605","-0.002156184","-0.001715476","-0.00123743","-0.000766788","-0.000277513","0.000312828","0.001008924","0.001684409","0.002336875","0.003037977","0.003810307","0.004557581","0.005174953","0.00555005","0.005414771","0.004650904","0.003423238","0.001959495","0.000468507","-0.000887385","-0.002013589","-0.002932962","-0.003663373","-0.004283518","-0.004667924","-0.004704803"
